"_id"	alpha_4	name.ar	numeric	name.bg	name.br	name.ca	name.cs	name.da	name.de	name.el	name.en	name.eo	name.es	name.et	name.fa	name.fi	name.fr	name.gl	name.he	name.hu	name.ia	name.id	name.is	name.it	name.ja	name.ko	name.lt	name.lv	name.ml	name.nb	name.nl	name.nn	name.oc	name.pl	name.pt	name.pt_BR	name.ro	name.ru	name.sk	name.sl	name.sr	name.sr@latin	name.sv	name.th	name.tr	name.uk	name.vi	name.zh_CN	name.zh_HK	name.zh_TW
Adlm	Adlm		166					adlam	Adlam		Adlam						adlam																	adlam				Адламская					Adlam			адлам				
Afak	Afak		439				Afaka	afaka	Afaka		Afaka	Afaka				Afaka	afaka			Afaka	afaka	Afaka	Afaka	Afaka				Afaka			Afaka			afaka				Афакская			афакаски	afakaski	Afaka			афака				阿法卡文字
Aghb	Aghb		239					kaukasisk albansk	Kaukasisches Albanisch		Caucasian Albanian	Kaŭkaza albana					aghbanien			Kaukázusi Albania	albanese caucasian	Kaukasia Albania	Kákasísk albanska	Albanese caucasico				Kaukāza albāņu			Kaukasisch Albanees			albański kaukaski				Кавказская албанская			кавкаски албански	kavkaski albanski	Kaukasisk albanska	แอลเบเนียแถบคอเคซัส		кавказька албанська				高加索阿爾巴尼亞文
Ahom	Ahom		338					ahom, tai ahom	Ahom, Tai Ahom		Ahom, Tai Ahom						ahom, tai ahom																	ahom				Ахомская, Тайская ахомская					Ahom, Tai Ahom			агом, тай агом				
Arab	Arab	العربية	160	Арабска	Arabeg	àrab	Arabské	arabisk	Arabisch	Αραβικό	Arabic	Araba	árabe	araabia	عربی	arabialainen	arabe	Árabe	ערבית	Arab	arabe	Arab	Arabískt	Arabo	アラビア文字	아랍 문자	Arabų	Arābu	അറബി	arabisk	Arabisch	arabisk	Arab	arabski	árabe	árabe	Arabă	Арабская	arabské	arabska pisava	арапски	arapski	Arabiska	อาหรับ	Arapça	арабська	A Rập	阿拉伯语	阿拉伯文	阿拉伯文
Aran	Aran	السريانية [Syre]	161	Традиционен китайски	Sirieg (Reter)	siríac (variant oriental)	Syrské (východní varianta)	arabisk (nastaliq variant)	Arabisch (Nastaliq-Variante)	Κινεζικό Παραδοσιακό	Arabic (Nastaliq variant)	Siria (orienta vario)	siríaco (variante oriental)	assüüria estrangelo	هان سنتی	syyrialainen (itäinen muunnelma)	arabe (variante Nastaliq)	Siríaco (variante oriental)	האן מסורתי	Szír (Keleti változat)	syriaco (variante oriental)	Syriac (varian Timur)	Sýrlenska (austur-tilbrigði)	Siriano (variante orientale)	シリア文字 (エストランゲロ文字)	에스트랑겔로식 시리아 문자	Sirų (rytietiškas variantas)	Austrumsīriešu		estrangelosyriakisk	Syrisch (Oosterse variant)	syriakisk (estrangelo-variant)		arabski (nasta'liq)	siríaco estrangelo	siríaco estrangelo	Siriană (varianta estică)	Арабская (вариант насталик)		sirijska pisava (vzhodna)	сиријски (источна варијанта)	sirijski (istočna varijanta)	Arabiska (Nastaliq-variant)	ซีริแอก (แบบตะวันออก)	Geleneksel Han	арабська (варіант насталік)	Xi-ri (biến thể Đông)	繁体中文	繁體中文	敘利亞文 (東方變體)
Armi	Armi		124		Amareeg impalaer	arameu imperial	Říšské aramejské	historisk aramæisk	Altertümliches Aramäisch		Imperial Aramaic	Imperia aramea	arameo imperial			imperiaalinen aramea	araméen impérial	Arameo imperial		Birodalmi arámi	arameico imperial	Kerajaan Aramik	Samveldis aramískt	Aramaico d'Impero			Imperinė aramėjų	Imperiālā aramiešu			Rijks-Aramees			aramejski			Aramaică imperială	Имперская арамейская		aramejska pisava	царски арамејски	carski aramejski	Officiell arameiska	อาราเมอิกจักรวรรดิ		імперська арамейська	Xy-ri cũ hoàng đế	皇家亚兰字母		皇室阿拉姆文
Armn	Armn	الأرمينية	230	Арменска	Armenieg	armeni	Arménské	armensk	Armenisch	Αρμενικό	Armenian	Armena	armenio	armeenia	ارمنی	armenialainen	arménien	Armenio	ארמנית	Örmény	armenio	Armenia	Armenskt	Armeno	アルメニア文字	아르메니아 문자	Armėnų	Armēņu		armensk	Armeens	armensk	Armenian	ormiański	armênio	armênio	Armeană	Армянская	arménske	armenska pisava	јерменски	jermenski	Armeniska	อาร์เมเนีย	Ermenice	вірменська	Ác-mê-ni	亚美尼亚语	亞美尼亞文	亞美尼亞文
Avst	Avst		134		Avestaneg	avèstic	Avestické	avestisk	Avestisch		Avestan	Avesta	avéstico			avestan	avestique	Avéstico		Avesztán	avestico	Avestan	Avestan	Avestano			Avestos	Avesta			Avestaans			awestyjski			Avestană	Авестийская		avestska pisava	авестански	avestanski	Avestiska	อเวสตะ		авестанська	A-ve-x-tanh	阿维斯塔语		阿維斯塔文
Bali	Bali	البالية	360	Балийски	Balineg	balinès	Balinéské	balinesisk	Balinesisch		Balinese	Balia	balinés	bali	بالیایی	balilainen	balinais	Balinese	באלינזית	Balinéz	balinese	Bali	Balískt	Balinese	バリ文字	발리 문자	Baliečių	Baliešu		balinesisk	Balinees	balinesisk	Balinés	balijski	balinês	balinês	Balineză	Балийская		balijska pisava	балинешки	balineški	Balinesiska	บาหลี	Bali Dili	балійська	Ba-li	巴厘语	峇里文	峇里文
Bamu	Bamu		435				Bamumské	bamum	Bamum		Bamum	Bamuma				bamum-kieli	bamoum	Bamum		Bamum	bamum	Bamum	Bamum	Bamum				Bamum			Bamum			bamum			Bamum	Бамумская			бамушки	bamuški	Bamum	บามุม		бамум		巴穆姆文字		巴姆穆文字
